iter	RMSE
0	3748.894781
1	3509.027415
2	3285.102232
3	3082.963297
4	2890.119075
5	2719.398962
6	2559.065263
7	2415.561475
8	2282.258279
9	2157.122636
10	2043.222286
11	1940.557082
12	1842.663775
13	1753.613669
14	1670.425484
15	1595.779383
16	1524.063649
17	1458.229881
18	1402.203182
19	1350.528507
20	1298.035972
21	1251.685551
22	1207.38993
23	1168.650667
24	1133.709124
25	1100.263238
26	1070.425115
27	1045.005488
28	1018.674462
29	994.812372
30	967.5388365
31	942.8682359
32	924.0770356
33	905.4628553
34	889.6355847
35	874.493517
36	857.9231341
37	845.6734983
38	833.5324283
39	823.5833221
40	811.4743538
41	802.7934804
42	790.2056327
43	779.8675657
44	771.5377264
45	763.1068421
46	755.4326952
47	749.8746558
48	743.9150233
49	737.7744103
50	731.3827083
51	724.2257482
52	718.8544852
53	715.068356
54	709.0954217
55	705.6850103
56	701.2369045
57	696.4318925
58	692.2726047
59	689.4719582
60	686.7790125
61	683.4825461
62	679.9995024
63	677.6661323
64	673.9756207
65	671.7128783
66	669.2914881
67	666.5887557
68	663.7922344
69	662.163056
70	659.5984567
71	656.6031408
72	654.0935528
73	652.2821589
74	649.9766096
75	648.2357
76	646.355563
77	645.4148045
78	642.9194596
79	640.8442049
80	639.3116184
81	636.7148199
82	635.0956519
83	633.3065515
84	631.6751338
85	628.9322957
86	628.0408267
87	625.4209769
88	624.425163
89	623.1980003
90	622.0046462
91	619.6842433
92	618.6972507
93	617.7645514
94	616.6944649
95	614.9375375
96	613.0814498
97	611.3052699
98	609.6420874
99	608.2257855
100	607.5244298
101	606.8991298
102	605.5223902
103	604.3184886
104	603.5326664
105	601.4178913
106	600.2711532
107	599.3755996
108	597.2477221
109	596.2682305
110	594.3078709
111	593.6583974
112	592.464281
113	591.6080126
114	590.5398916
115	589.084706
116	587.9798792
117	587.5024792
118	586.1163552
119	585.2736774
120	584.8157511
121	584.2411791
122	583.2557424
123	582.4758798
124	581.6116228
125	581.1151747
126	579.906764
127	579.2374334
128	578.4681653
129	577.8738329
130	577.2452384
131	576.7863832
132	576.3854778
133	575.5546892
134	573.9891354
135	572.9750083
136	572.4926829
137	572.177997
138	570.9856236
139	570.0475067
140	569.4599874
141	568.5619334
142	567.9133027
143	566.9688212
144	566.1060045
145	565.4773166
146	564.4897212
147	564.1223399
148	563.0449596
149	562.4573366
150	561.9172124
151	561.0820431
152	560.7860977
153	560.4058714
154	559.8235864
155	559.2291899
156	558.5846979
157	558.1970469
158	557.2189991
159	556.7730373
160	556.0746805
161	555.1631435
162	554.5775838
163	554.172144
164	553.7852586
165	553.391589
166	553.1050368
167	552.3709159
168	551.7300207
169	551.2985194
170	551.1728495
171	550.3856434
172	549.8431272
173	549.7194444
174	549.3562525
175	548.9153454
176	548.6264642
177	548.4089578
178	548.0691403
179	547.5551261
180	547.1349545
181	546.7622238
182	546.57255
183	546.4312418
184	546.3466339
185	545.8406472
186	545.6852187
187	545.3755872
188	545.1689198
189	545.0209478
190	544.771448
191	544.2445263
192	543.7526995
193	543.5586998
194	543.3097443
195	543.0100435
196	542.4898895
197	542.2637813
198	542.0232666
199	541.8737916
200	541.7351983
201	541.4766459
202	541.1668183
203	540.9285933
204	540.7325409
205	540.6111357
206	540.280145
207	540.0690103
208	539.5984831
209	539.0610959
210	538.6634581
211	538.349085
212	538.1525914
213	537.9733705
214	537.8030349
215	537.5548841
216	537.0752753
217	536.7400304
218	536.543872
219	536.3299724
220	536.0657661
221	535.8126999
222	535.6418421
223	535.1687539
224	534.9738894
225	534.5039458
226	534.3861518
227	534.0921102
228	533.6952634
229	533.5100675
230	533.22379
231	532.9268057
232	532.6915971
233	532.2505616
234	531.9170238
235	531.7497364
236	531.5722771
237	531.3738314
238	531.1940012
239	530.8181757
240	530.5189218
241	530.2117305
242	529.9713254
243	529.7748341
244	529.561354
245	529.0839763
246	528.9117101
247	528.7329509
248	528.3361113
249	528.1437205
250	527.8922324
251	527.6915494
252	527.3667737
253	527.1885858
254	526.8300391
255	526.6245672
256	526.5601964
257	526.4766224
258	526.4171402
259	526.1803699
260	525.837443
261	525.6157538
262	525.5797935
263	525.3069976
264	525.0827456
265	524.827812
266	524.650036
267	524.228221
268	524.0423996
269	523.7303934
270	523.5454914
271	523.3651696
272	523.2020169
273	522.9240455
274	522.5781164
275	522.4517114
276	522.3079186
277	522.0625881
278	521.8240504
279	521.8170265
280	521.4913363
281	521.3174131
282	521.0303865
283	520.7686399
284	520.5452395
285	520.5348978
286	520.3492579
287	520.2030893
288	520.0452648
289	519.6144791
290	519.4582911
291	519.0371045
292	519.0018343
293	518.9565778
294	518.7722397
295	518.7431619
296	518.5879554
297	518.5478745
298	518.349929
299	517.971501
300	517.9686502
301	517.7982549
302	517.6732673
303	517.4228402
304	517.3018404
305	517.0878665
306	516.8838963
307	516.8204817
308	516.7574776
309	516.4865959
310	516.2529698
311	516.1677877
312	515.821989
313	515.6229375
314	515.5434589
315	515.4846166
316	515.4108895
317	515.2432827
318	514.9016152
319	514.5635501
320	514.362324
321	514.0982042
322	513.7848282
323	513.6119187
324	513.4619616
325	513.1382638
326	512.8247174
327	512.643872
328	512.5179614
329	512.2553915
330	512.1332124
331	511.9578289
332	511.7097486
333	511.368
334	511.202298
335	510.9294687
336	510.8753098
337	510.7535329
338	510.4306342
339	510.1405993
340	509.8959506
341	509.8190418
342	509.5589412
343	509.4159429
344	509.1940807
345	509.1670572
346	509.0292582
347	509.0014989
348	508.8475872
349	508.4850766
350	508.3746597
351	508.1734744
352	508.0404448
353	507.8410456
354	507.7905427
355	507.512345
356	507.2793057
357	507.0274373
358	506.8204347
359	506.505413
360	506.5031174
361	506.3299769
362	506.2110638
363	506.0985556
364	505.842536
365	505.6294843
366	505.5449477
367	505.5427438
368	505.4713204
369	505.3170164
370	505.0582024
371	504.851285
372	504.6189719
373	504.4129122
374	504.2112323
375	504.1522966
376	503.979085
377	503.9161888
378	503.6361954
379	503.4758876
380	503.3214315
381	503.188843
382	503.1155237
383	502.873886
384	502.6175047
385	502.4551002
386	502.225876
387	502.0009088
388	501.9035877
389	501.766209
390	501.6569817
391	501.5572439
392	501.5066575
393	501.3210432
394	501.2360555
395	501.106207
396	500.895803
397	500.6998565
398	500.5311002
399	500.3620985
400	500.3600652
401	500.1529814
402	500.0681813
403	500.0650471
404	499.9700681
405	499.8404815
406	499.6690068
407	499.5265079
408	499.4052976
409	499.2621417
410	499.1955686
411	499.0220583
412	498.8750686
413	498.8730967
414	498.8711973
415	498.7989593
416	498.552997
417	498.3171361
418	498.1736807
419	498.1718277
420	498.1689762
421	498.1672636
422	497.9773082
423	497.8305032
424	497.6706664
425	497.5415067
426	497.4589813
427	497.4558229
428	497.2599755
429	497.0561398
430	496.8611877
431	496.6901747
432	496.5729293
433	496.3531825
434	496.166326
435	495.9139673
436	495.8466918
437	495.7431281
438	495.5572817
439	495.3986743
440	495.3517326
441	495.2016572
442	495.018469
443	494.9113423
444	494.841628
445	494.782506
446	494.6193091
447	494.5339135
448	494.4492103
449	494.402064
450	494.2900922
451	494.2005196
452	494.1469475
453	494.0294881
454	494.0271108
455	494.0254699
456	493.9325213
457	493.8221467
458	493.7549022
459	493.7018239
460	493.6993385
461	493.6813244
462	493.5342816
463	493.3307552
464	493.202316
465	493.2007884
466	493.1922719
467	493.0472055
468	493.0444779
469	492.9242167
470	492.7345279
471	492.5195284
472	492.3109062
473	492.2852777
474	492.1822268
475	492.1808378
476	492.1795044
477	492.0387682
478	491.9017122
479	491.9004275
480	491.7752495
481	491.6235609
482	491.4356434
483	491.279597
484	491.1010064
485	490.9618616
486	490.7986184
487	490.6966464
488	490.5655704
489	490.4014003
490	490.3591719
491	490.1316967
492	490.0162434
493	490.0142109
494	489.889563
495	489.7293151
496	489.5213413
497	489.2891715
498	489.1214963
499	488.9713055
500	488.7925159
501	488.6988345
502	488.5232088
503	488.3961704
504	488.2668402
505	488.154499
506	488.0123947
507	487.8660642
508	487.829218
509	487.7420567
510	487.5356425
511	487.3394117
512	487.3382348
513	487.2388762
514	487.0854745
515	486.9589177
516	486.9579057
517	486.9364337
518	486.8075812
519	486.7854557
520	486.6506066
521	486.4807327
522	486.3521764
523	486.1669753
524	486.0429475
525	486.0120343
526	485.9025615
527	485.7223794
528	485.56012
529	485.404936
530	485.3334627
531	485.2189141
532	485.1269847
533	484.9611574
534	484.8927978
535	484.7337545
536	484.6350537
537	484.4757052
538	484.3500892
539	484.1943531
540	484.0820822
541	483.8644515
542	483.6168081
543	483.5189222
544	483.4032951
545	483.2825137
546	483.2032094
547	483.0929402
548	482.9606244
549	482.9023293
550	482.7814305
551	482.7157938
552	482.5964189
553	482.5240601
554	482.4647117
555	482.4269962
556	482.3974971
557	482.2636117
558	482.1041469
559	482.0865138
560	482.0450747
561	481.962628
562	481.8250468
563	481.725342
564	481.6303168
565	481.4810153
566	481.4047527
567	481.2386335
568	481.2228947
569	481.1019758
570	480.9499132
571	480.7688219
572	480.5960957
573	480.5818526
574	480.5543053
575	480.5350497
576	480.4486189
577	480.3264401
578	480.2755782
579	480.0986117
580	480.0001093
581	479.9690313
582	479.8211343
583	479.672976
584	479.4893057
585	479.4009021
586	479.2634278
587	479.0772403
588	478.9885915
589	478.9250047
590	478.8328835
591	478.711089
592	478.6229399
593	478.5056149
594	478.3665431
595	478.2575889
596	478.060119
597	477.947127
598	477.8761099
599	477.7652183
600	477.7642209
601	477.619901
602	477.6076686
603	477.606896
604	477.4650747
605	477.2990592
606	477.1001931
607	476.9985594
608	476.9363929
609	476.845835
610	476.6774383
611	476.5396858
612	476.4671862
613	476.3345853
614	476.2087887
615	476.2080324
616	476.1307879
617	476.0710865
618	476.0201902
619	475.9023957
620	475.8346707
621	475.8211019
622	475.7393576
623	475.6225404
624	475.5524505
625	475.5432669
626	475.4028894
627	475.3410102
628	475.2617779
629	475.2343283
630	475.1607186
631	475.0460198
632	475.0031249
633	474.8938777
634	474.7567186
635	474.6609117
636	474.5278701
637	474.3927252
638	474.2842132
639	474.0633098
640	473.9479739
641	473.8514357
642	473.7520882
643	473.6255047
644	473.5989704
645	473.4488705
646	473.3121812
647	473.1971686
648	473.1934969
649	473.111554
650	473.0151678
651	472.8771017
652	472.7847838
653	472.6863925
654	472.5515003
655	472.4362654
656	472.4346745
657	472.2539122
658	472.251478
659	472.2399705
660	472.2384563
661	472.168788
662	472.1665652
663	472.0535069
664	471.892015
665	471.8283185
666	471.7436078
667	471.6314283
668	471.5947253
669	471.5915235
670	471.4941224
671	471.4261687
672	471.2744853
673	471.2226549
674	471.1964562
675	471.0933992
676	470.9648142
677	470.8058644
678	470.6452763
679	470.4900907
680	470.3680455
681	470.2545825
682	470.1618356
683	470.1114948
684	470.0932396
685	470.0390083
686	469.8947583
687	469.7480513
688	469.650509
689	469.5525452
690	469.5269611
691	469.468993
692	469.362941
693	469.2878424
694	469.1484143
695	469.0323882
696	469.0295809
697	468.8814279
698	468.7450867
699	468.6017733
700	468.5993071
701	468.5281661
702	468.526746
703	468.5247393
704	468.450797
705	468.3635104
706	468.3628487
707	468.2697966
708	468.1863398
709	468.1857657
710	468.0747891
711	468.0082768
712	467.9348289
713	467.8266421
714	467.7691834
715	467.6691713
716	467.6388623
717	467.5403532
718	467.5390819
719	467.5384749
720	467.4714249
721	467.2956221
722	467.2543113
723	467.1186525
724	467.0256749
725	466.8669984
726	466.7438709
727	466.5800884
728	466.5492325
729	466.5085897
730	466.4194755
731	466.2545639
732	466.1610401
733	466.0842156
734	466.030354
735	466.0254866
736	465.9041672
737	465.8317884
738	465.6389469
739	465.5069889
740	465.4034516
741	465.2784654
742	465.1670536
743	465.0414339
744	465.0197362
745	464.9960181
746	464.90204
747	464.7954576
748	464.7211198
749	464.6909828
750	464.6227609
751	464.5914051
752	464.4258436
753	464.421237
754	464.383253
755	464.3501633
756	464.276531
757	464.2560562
758	464.2082869
759	464.1217354
760	464.0248536
761	463.882938
762	463.6349536
763	463.545798
764	463.4359473
765	463.3219722
766	463.2352619
767	463.1708787
768	463.1099243
769	463.0461035
770	462.9452035
771	462.8892744
772	462.711032
773	462.5600703
774	462.4796898
775	462.3767515
776	462.3583594
777	462.2389053
778	462.0422237
779	461.981994
780	461.8982133
781	461.7931428
782	461.7676108
783	461.6762066
784	461.5847789
785	461.5281387
786	461.4407419
787	461.2982695
788	461.2189543
789	461.1347917
790	461.1075033
791	461.0165078
792	461.00093
793	460.8964514
794	460.7745647
795	460.6994729
796	460.5967352
797	460.4836278
798	460.4036254
799	460.3191608
800	460.2078744
801	460.1885391
802	460.1030624
803	460.0107862
804	459.8726982
805	459.8308586
806	459.7187826
807	459.679224
808	459.6309831
809	459.6138485
810	459.4924493
811	459.4128821
812	459.3511637
813	459.2575405
814	459.1560263
815	459.0909034
816	458.9665288
817	458.8937031
818	458.716407
819	458.6354462
820	458.5122929
821	458.373461
822	458.3283095
823	458.2255183
824	458.1418478
825	458.1324152
826	458.0343707
827	457.9642831
828	457.9178845
829	457.8254037
830	457.6819988
831	457.6720981
832	457.6209175
833	457.5127419
834	457.420809
835	457.349341
836	457.2882344
837	457.263516
838	457.2246922
839	457.0847534
840	456.9675556
841	456.8980606
842	456.8456162
843	456.7608714
844	456.6605859
845	456.6287992
846	456.5685607
847	456.4677042
848	456.4167338
849	456.3577133
850	456.2863951
851	456.2016131
852	456.1570807
853	456.0911305
854	455.9753549
855	455.8090016
856	455.7018208
857	455.6061616
858	455.491807
859	455.4593861
860	455.3553923
861	455.2539024
862	455.1339165
863	455.0406604
864	454.9374302
865	454.8132923
866	454.6864438
867	454.6491783
868	454.5757061
869	454.4897238
870	454.4661625
871	454.3702732
872	454.2621048
873	454.2612628
874	454.1717853
875	454.1508924
876	454.0675305
877	454.0293653
878	453.9257538
879	453.8569995
880	453.811339
881	453.7229209
882	453.6852133
883	453.5756019
884	453.5378533
885	453.4825358
886	453.3603528
887	453.1807709
888	453.1294807
889	453.1107333
890	453.032221
891	453.0185505
892	452.9295931
893	452.8911787
894	452.8311925
895	452.8241105
896	452.7464293
897	452.6552525
898	452.5925698
899	452.562518
900	452.4875862
901	452.487132
902	452.3881049
903	452.387096
904	452.386665
905	452.3106654
906	452.2676529
907	452.2090066
908	452.0917285
909	452.0088881
910	451.9201481
911	451.8927279
912	451.7933814
913	451.747581
914	451.6593957
915	451.5952638
916	451.5176002
917	451.3579374
918	451.337764
919	451.2748669
920	451.2365523
921	451.1116243
922	451.0264296
923	450.9356141
924	450.8197598
925	450.7596995
926	450.7466216
927	450.6262678
928	450.566839
929	450.5079068
930	450.4259503
931	450.4067621
932	450.3430147
933	450.3122151
934	450.2560786
935	450.1800719
936	450.0492601
937	449.94318
938	449.877331
939	449.7843344
940	449.7210442
941	449.638613
942	449.559965
943	449.4599616
944	449.3894225
945	449.2762576
946	449.1848786
947	448.9828678
948	448.7991179
949	448.6305439
950	448.5585223
951	448.4646148
952	448.3974882
953	448.3639047
954	448.2967295
955	448.284219
956	448.1193428
957	448.0837898
958	447.9487783
959	447.8832132
960	447.8468356
961	447.7602275
962	447.6587522
963	447.6040347
964	447.5840137
965	447.4959026
966	447.4478546
967	447.3746329
968	447.328709
969	447.29978
970	447.1680779
971	447.0913509
972	446.9301648
973	446.8869758
974	446.8186045
975	446.7750351
976	446.6968121
