iter	Passed	Remaining
0	10	10179
1	20	10157
2	30	10097
3	39	9803
4	48	9729
5	57	9592
6	67	9571
7	76	9483
8	85	9446
9	95	9415
10	104	9357
11	113	9332
12	122	9297
13	131	9255
14	140	9248
15	149	9213
16	159	9202
17	168	9191
18	177	9176
19	186	9154
20	196	9153
21	205	9143
22	214	9127
23	223	9108
24	233	9089
25	242	9074
26	251	9064
27	260	9045
28	269	9009
29	278	9004
30	287	8985
31	296	8976
32	306	8966
33	314	8940
34	323	8921
35	332	8908
36	343	8940
37	352	8930
38	362	8925
39	371	8918
40	379	8885
41	388	8865
42	398	8858
43	406	8840
44	415	8823
45	424	8805
46	433	8786
47	442	8772
48	451	8759
49	460	8740
50	468	8717
51	477	8703
52	486	8688
53	495	8679
54	504	8671
55	513	8655
56	522	8646
57	530	8622
58	539	8608
59	548	8589
60	557	8576
61	565	8561
62	574	8540
63	582	8519
64	591	8510
65	600	8494
66	608	8477
67	617	8468
68	626	8453
69	634	8430
70	643	8422
71	652	8407
72	661	8399
73	669	8382
74	679	8385
75	689	8388
76	698	8375
77	707	8367
78	716	8357
79	727	8362
80	737	8365
81	747	8362
82	756	8355
83	765	8351
84	775	8351
85	785	8351
86	795	8349
87	805	8350
88	814	8335
89	830	8400
90	860	8596
91	878	8666
92	891	8693
93	903	8712
94	913	8705
95	925	8711
96	939	8745
97	948	8730
98	957	8710
99	965	8689
100	973	8667
101	983	8655
102	992	8647
103	1002	8633
104	1010	8613
105	1019	8597
106	1029	8590
107	1038	8573
108	1047	8563
109	1056	8549
110	1067	8551
111	1078	8554
112	1090	8563
113	1101	8557
114	1111	8555
115	1121	8545
116	1130	8531
117	1140	8527
118	1151	8524
119	1161	8514
120	1171	8510
121	1181	8499
122	1190	8490
123	1200	8483
124	1211	8481
125	1220	8468
126	1231	8465
127	1241	8459
128	1251	8453
129	1261	8444
130	1271	8437
131	1281	8427
132	1292	8426
133	1301	8413
134	1311	8402
135	1321	8397
136	1330	8383
137	1339	8365
138	1349	8356
139	1357	8341
140	1366	8324
141	1375	8309
142	1383	8292
143	1393	8281
144	1402	8268
145	1415	8278
146	1424	8264
147	1433	8250
148	1443	8243
149	1452	8230
150	1460	8212
151	1471	8210
152	1480	8195
153	1489	8181
154	1497	8166
155	1506	8150
156	1515	8139
157	1524	8124
158	1534	8117
159	1545	8112
160	1555	8104
161	1565	8096
162	1576	8093
163	1585	8081
164	1595	8073
165	1604	8061
166	1613	8049
167	1623	8041
168	1632	8028
