iter	Passed	Remaining
0	13	13296
1	26	13399
2	39	13005
3	50	12500
4	63	12643
5	75	12564
6	87	12473
7	99	12334
8	110	12218
9	122	12116
10	133	12009
11	145	11953
12	156	11859
13	167	11783
14	179	11763
15	190	11714
16	201	11677
17	214	11676
18	225	11639
19	236	11594
20	249	11614
21	261	11603
22	272	11570
23	284	11557
24	295	11523
25	311	11682
26	328	11853
27	341	11871
28	353	11851
29	365	11831
30	378	11836
31	393	11907
32	412	12078
33	430	12221
34	443	12238
35	456	12210
36	467	12174
37	479	12137
38	490	12096
39	502	12063
40	513	12003
41	524	11969
42	536	11939
43	547	11905
44	559	11866
45	570	11825
46	580	11776
47	591	11740
48	603	11719
49	614	11674
50	625	11636
51	636	11606
52	647	11574
53	659	11545
54	670	11522
55	682	11498
56	694	11497
57	711	11547
58	724	11552
59	736	11537
60	747	11500
61	758	11475
62	768	11435
63	780	11414
64	795	11445
65	806	11420
66	817	11388
67	830	11381
68	846	11421
69	865	11500
70	882	11545
71	897	11564
72	912	11591
73	926	11595
74	942	11618
75	955	11619
76	973	11664
77	986	11656
78	996	11623
79	1008	11594
80	1019	11571
81	1033	11572
82	1049	11595
83	1064	11612
84	1076	11586
85	1088	11568
86	1099	11540
87	1110	11510
88	1121	11481
89	1134	11468
90	1145	11442
91	1157	11420
92	1168	11393
93	1178	11362
94	1189	11330
95	1200	11308
96	1212	11288
97	1224	11267
98	1234	11239
99	1245	11209
100	1255	11176
101	1266	11146
102	1277	11126
103	1291	11122
104	1308	11153
105	1321	11148
106	1334	11133
107	1348	11137
108	1360	11122
109	1372	11103
110	1390	11132
111	1407	11160
112	1420	11148
113	1431	11122
114	1442	11100
115	1455	11089
116	1471	11104
117	1485	11106
118	1500	11109
119	1511	11087
120	1522	11062
121	1533	11036
122	1544	11011
123	1559	11015
124	1573	11013
125	1586	11002
126	1598	10986
127	1608	10961
128	1620	10940
129	1631	10915
130	1641	10889
131	1653	10872
132	1664	10847
133	1677	10841
134	1689	10824
135	1700	10802
136	1710	10774
137	1721	10750
138	1732	10732
139	1748	10740
140	1759	10716
141	1769	10693
142	1780	10670
143	1792	10653
144	1804	10639
145	1818	10634
146	1831	10627
147	1842	10608
148	1855	10595
149	1869	10591
150	1880	10571
151	1892	10559
152	1903	10537
153	1914	10519
154	1925	10497
155	1936	10474
156	1948	10461
157	1966	10480
158	1978	10465
159	1989	10445
160	2001	10428
161	2012	10411
162	2023	10389
163	2034	10373
164	2046	10357
165	2056	10334
166	2067	10312
167	2079	10299
168	2093	10293
169	2103	10270
170	2113	10247
171	2125	10233
172	2136	10215
173	2147	10196
174	2160	10185
175	2171	10166
176	2181	10144
177	2191	10122
178	2202	10102
179	2214	10087
180	2226	10073
181	2237	10057
182	2249	10041
183	2259	10018
184	2269	9996
185	2280	9981
186	2291	9962
187	2301	9940
188	2311	9920
189	2322	9900
190	2334	9886
191	2345	9869
192	2359	9867
193	2376	9874
194	2388	9858
195	2400	9845
196	2411	9829
197	2427	9833
198	2440	9822
199	2450	9803
200	2460	9782
201	2472	9766
202	2482	9746
203	2493	9731
204	2505	9714
205	2515	9694
206	2527	9682
207	2539	9668
208	2551	9655
209	2562	9638
210	2572	9620
211	2583	9603
212	2595	9588
213	2605	9568
214	2615	9549
215	2626	9534
216	2637	9516
217	2648	9500
218	2659	9482
219	2670	9466
220	2681	9450
221	2692	9434
222	2702	9415
223	2713	9401
224	2724	9384
225	2737	9375
226	2750	9366
227	2762	9353
228	2777	9350
229	2786	9330
230	2798	9317
231	2810	9302
232	2822	9289
233	2836	9286
234	2851	9281
235	2864	9274
236	2876	9262
237	2893	9264
238	2907	9258
239	2922	9255
240	2935	9246
241	2947	9232
242	2959	9219
243	2973	9212
244	2984	9197
245	2995	9182
246	3006	9164
247	3016	9148
248	3027	9130
249	3038	9116
250	3050	9103
251	3065	9099
252	3085	9111
253	3099	9103
254	3113	9095
255	3127	9090
256	3140	9080
257	3162	9094
258	3185	9112
259	3211	9141
260	3235	9161
261	3265	9197
262	3279	9189
263	3311	9231
264	3335	9250
265	3356	9260
266	3378	9274
267	3407	9306
268	3430	9322
269	3454	9340
270	3469	9333
271	3483	9322
272	3497	9313
273	3510	9300
274	3522	9287
275	3533	9269
276	3545	9254
277	3561	9250
278	3575	9239
279	3590	9231
280	3606	9229
281	3624	9228
282	3640	9223
283	3658	9223
284	3673	9216
285	3686	9202
286	3700	9192
287	3722	9202
288	3737	9194
289	3757	9199
290	3772	9190
291	3787	9183
292	3799	9168
293	3811	9151
294	3825	9142
295	3841	9137
296	3860	9138
297	3883	9149
298	3905	9156
299	3921	9151
300	3935	9139
301	3947	9123
302	3960	9110
303	3973	9098
304	3986	9083
305	3999	9071
306	4010	9054
307	4025	9043
308	4042	9039
309	4059	9034
310	4076	9030
311	4088	9014
312	4099	8997
313	4116	8992
314	4127	8975
315	4140	8961
316	4150	8942
317	4161	8924
318	4172	8906
319	4184	8891
320	4204	8893
321	4229	8905
322	4250	8909
323	4267	8903
324	4285	8901
325	4300	8892
326	4317	8886
327	4335	8882
328	4352	8876
329	4368	8869
330	4386	8865
331	4400	8854
332	4421	8855
333	4438	8850
334	4453	8840
335	4470	8835
336	4490	8833
337	4507	8827
338	4523	8819
339	4539	8812
340	4553	8798
341	4565	8783
342	4578	8769
343	4588	8750
344	4600	8734
345	4614	8721
346	4625	8704
347	4638	8690
348	4654	8683
349	4669	8671
350	4681	8655
351	4693	8639
352	4703	8621
353	4719	8612
354	4729	8592
355	4737	8570
356	4748	8552
357	4759	8534
358	4774	8525
